frame,timestamp_ms,left_horizontal,left_vertical,right_horizontal,right_vertical
110,474.55115589938373,-4.945115740613522,-5.364658042521378,-78.32115345880045,-6.164601652886822
111,478.90483622873586,-5.058583450337635,-5.332637260110039,-78.33779757501718,-6.1115404142863365
112,483.258516558088,-4.910307991692028,-5.4315568113471215,-78.35935928932794,-6.249089002920546
113,487.6121968874401,-5.108054163990626,-5.402610295892767,-78.38980095633482,-6.173100674972844
114,491.96587721679225,-5.195803605763601,-5.351661348993255,-78.41519185740398,-6.152058718719458
115,496.3195575461444,-5.102368053261123,-5.451445721286216,-78.44311533780343,-6.406097943119111
116,500.6732378754965,-4.989297222771301,-5.372753468495804,-78.45897028994791,-6.34769173182654
117,505.02691820484864,-5.5360495374052485,-5.212820293724977,-78.51050949630036,-5.8940629743313995
118,509.3805985342008,-5.7849473420281186,-5.067885904780622,-78.53383551500895,-5.361378285374177
119,513.734278863553,-5.878223545136157,-5.156354775665327,-78.55409594914757,-5.323424865054016
120,518.0879591929051,-6.034024660682181,-5.127255395540129,-78.57069547753326,-4.704549209664944
121,522.4416395222573,-5.930022130701172,-5.200416544876719,-78.54869308514387,-4.349459982794026
122,526.7953198516095,-6.0483848294335605,-5.334924569887007,-78.53996873225113,-4.387740322222618
123,531.1490001809617,-5.652129375020284,-5.4882076971393765,-78.56143408971307,-5.054193164578526
124,535.5026805103139,-5.820561596595826,-5.734409094948486,-78.61192137985047,-5.41300546530516
125,539.8563608396661,-5.086744355121585,-5.944587035686359,-78.60884852800696,-5.600622844079078
126,544.2100411690183,-5.20146988369929,-6.298866270347229,-78.65086196362718,-5.830710200083355
127,548.5637214983705,-5.466053068813218,-6.558449913926077,-78.60686207484744,-5.836940002318021
128,552.9174018277226,-5.565744961004551,-6.694246324549322,-78.52617166559236,-5.524830728674111
129,557.2710821570748,-7.268286798482599,-6.7519677177688795,-78.56475547047687,-5.239410717180715
130,561.624762486427,-7.187477871966682,-6.157482581935947,-78.52469898685825,-4.404895118223649
131,565.9784428157792,-6.997327147288212,-5.784766087506681,-78.47825024289637,-3.7113358287356433
132,570.3321231451314,-6.460260292859259,-5.741787368929881,-78.46680865618956,-3.5806281846199592
133,574.6858034744836,-4.618127553339347,-5.653979023178941,-78.40477365334024,-4.030789850672124
134,579.0394838038358,-2.3733298447985076,-5.973062456556287,-78.30082367015306,-4.13218240552935
135,583.393164133188,-2.0913774688718423,-6.239719867338119,-78.31893493572606,-4.424536289071554
136,587.7468444625401,-1.1979824130826862,-6.511312119916564,-78.35809798170419,-4.9105434619938615
137,592.1005247918923,-0.2931093670756919,-6.72272946381408,-78.36200230970623,-5.840497019724731
138,596.4542051212445,-0.17776731605475618,-6.685124514456395,-78.37996283995085,-5.657281979185093
139,600.8078854505967,-0.029188502937740186,-6.800810648554734,-78.40284316001883,-6.260469658223605
140,605.1615657799489,-0.06621429659126056,-5.841710523530794,-78.41684610466541,-4.108752968859089
141,609.5152461093011,-0.821232125145938,-5.652437650534276,-78.36337588942067,-3.4931523934929314
142,613.8689264386533,-1.9434212284167827,-5.585878820784105,-78.38816643393233,-3.1521773139051157
143,618.2226067680054,-3.6154108403086838,-5.598284942883239,-78.48239533754564,-3.4738034282033357
144,622.5762870973576,-3.5910980433298034,-5.472240562733441,-78.48648211285433,-3.4217076512202365
145,626.9299674267098,-3.882453795964347,-5.459248492374255,-78.5042268165099,-3.5516494564117393
146,631.283647756062,-4.071138810453812,-5.525781518223683,-78.52145526398853,-3.705680334814158
147,635.6373280854142,-4.752291863335155,-5.504645694476573,-78.5587687382593,-3.610851142635402
148,639.9910084147664,-4.409450506318279,-5.253024679484444,-78.52478701228847,-3.228570159259566
149,644.3446887441186,-4.601262446834127,-5.193170204720757,-78.5188438774126,-3.2691077607979224
150,648.6983690734708,-4.980301473935289,-5.242020740943573,-78.53040216633028,-3.279142688072419
151,653.052049402823,-5.514061753847897,-5.374132936678351,-78.55490602310414,-3.305723384427498
152,657.4057297321751,-5.611706177818614,-5.371392145085989,-78.55934378291859,-3.2640803252535595
153,661.7594100615273,-5.66308202117604,-5.365384098468157,-78.55894688319162,-3.112323453426833
154,666.1130903908795,-5.694015561296713,-5.29451292632247,-78.5549294791587,-3.2389621884516355
155,670.4667707202317,-5.684297057862892,-5.391684308118104,-78.54760345355211,-3.2417927423220214
156,674.8204510495839,-5.6392359111961605,-5.376946306365524,-78.53957520866402,-3.0757534479357123
157,679.1741313789361,-5.558906390166099,-5.253242575336503,-78.52635709922905,-2.8402765034723534
158,683.5278117082883,-5.47788359072801,-5.192443745388407,-78.51128943144212,-3.0621504274097338
159,687.8814920376404,-5.327118601276515,-5.3297871756622754,-78.50201641416888,-3.18749482637846
160,692.2351723669926,-5.205937453990837,-5.281912706342054,-78.5044271470107,-3.078624492387208
161,696.5888526963448,-5.0207167995898185,-5.265244769645254,-78.5209425179042,-2.9708211329378003
162,700.942533025697,-5.129362556011909,-5.212747652404334,-78.55374091969193,-2.9383413081360374
163,705.2962133550492,-5.335541777540276,-5.227330060292243,-78.56681729775084,-3.183357417557663
164,709.6498936844014,-5.614372214496986,-5.238207404396255,-78.59999409561884,-3.1066015131997204
165,714.0035740137536,-6.09631292548804,-5.242547340903187,-78.64679566734313,-3.009972623427127
166,718.3572543431058,-6.0881293593834105,-5.1950226684394645,-78.64424180092416,-2.947313059331805
167,722.7109346724579,-5.871772956918173,-5.163819917662697,-78.64245080128933,-3.04510161264886
168,727.0646150018101,-6.199636013435392,-5.118608625978552,-78.66017913063811,-3.008408201807846
169,731.4182953311623,-6.350402577909032,-5.18047508707544,-78.65755593124761,-3.0966424174674145
170,735.7719756605145,-6.324282967730172,-5.173264614237454,-78.65789848954496,-2.990110076952465
171,740.1256559898667,-6.429161349962809,-5.1746086443104815,-78.66333828063861,-3.078584891879305
172,744.4793363192189,-6.432560722261935,-5.147000396199552,-78.66089308469597,-3.1878115644390115
173,748.8330166485711,-6.602868401820006,-5.218050424634827,-78.66902436119226,-3.21263530171947
174,753.1866969779232,-6.478086220213055,-5.188884070465617,-78.65775870364779,-3.1680150615902156
175,757.5403773072754,-6.426575626766053,-5.1565909020678875,-78.65415842956605,-3.11058113910211
176,761.8940576366276,-6.402778507712676,-5.161912781306321,-78.64337794034616,-3.1446146191379496
177,766.2477379659798,-6.666030832221764,-5.243673172320225,-78.65144482532702,-3.2276002256746747
178,770.601418295332,-6.835021874567373,-5.257291778853302,-78.66420835348653,-3.251927182834188
179,774.9550986246842,-6.8855083295084665,-5.247250383902526,-78.66588214406607,-3.2118632897547745
180,779.3087789540364,-6.829172913685372,-5.240731475224859,-78.65061434486509,-3.249512354143146
181,783.6624592833886,-7.153570633026716,-5.29674605297921,-78.67392824110786,-3.309167093665675
182,788.0161396127407,-6.958322007023549,-5.2918440464754966,-78.6661613173835,-3.262120799342439
183,792.3698199420929,-6.792360897969501,-5.248884629351211,-78.65316230893309,-3.170707430568635
184,796.7235002714451,-6.580063807665259,-5.258526503082146,-78.63761092892064,-3.2476517405472216
185,801.0771806007973,-6.667873428431924,-5.31998413555904,-78.65876324318539,-3.314688853337227
186,805.4308609301495,-6.653818766247471,-5.321236763657994,-78.6675784494903,-3.2826657509011827
187,809.7845412595017,-6.588538977006343,-5.2606146284992805,-78.66093607264584,-3.168470389681159
188,814.1382215888539,-6.477381161793647,-5.24320104996223,-78.64769902428976,-3.2590726327423645
189,818.491901918206,-6.4238271369240305,-5.31056203039375,-78.63784831778197,-3.369883254187154
190,822.8455822475582,-6.280340361206047,-5.294149814772038,-78.63356147921706,-3.266217981165858
191,827.1992625769104,-6.227396769107829,-5.2624303783406265,-78.63646084170186,-3.251788627402297
192,831.5529429062626,-6.201988733366019,-5.219140024268238,-78.6280548424405,-3.2856543970786074
193,835.9066232356148,-6.265630863287361,-5.259597803959389,-78.63546473602875,-3.358029549155135
194,840.260303564967,-6.209680171186969,-5.2486667304528325,-78.6419363440847,-3.2966192104252716
195,844.6139838943192,-6.104351406635418,-5.204520914183117,-78.63141531945314,-3.2686525226453105
196,848.9676642236714,-6.104170362416803,-5.227039508353446,-78.62746034183706,-3.237477625897798
197,853.3213445530236,-6.102812526877309,-5.299396735217714,-78.62948139366507,-3.2814782044081845
198,857.6750248823757,-6.095081785472628,-5.287849761506715,-78.63035660251937,-3.191691589846132
199,862.0287052117279,-6.055320173854798,-5.223316787788105,-78.62245638614418,-3.1974521857516773
200,866.3823855410801,-6.045161553966724,-5.257400725305777,-78.62201742516704,-3.266732600674369
201,870.7360658704323,-6.050811314826838,-5.3170794710684515,-78.62231573679412,-3.390582019302928
202,875.0897461997845,-6.034060878963508,-5.3572521732015606,-78.62270212787172,-3.414980094697729
