frame,time_s,arrow_right_pct,arrow_left_pct,bullseye_pct
275,4.5833,90.1,87.71,
276,4.6,90.1,86.04,
277,4.6167,90.1,83.65,
278,4.6333,90.1,81.04,
279,4.65,90.1,77.81,
280,4.6667,90.1,73.96,
281,4.6833,90.1,73.96,
282,4.7,90.1,65.0,
283,4.7167,90.1,59.48,
284,4.7333,90.1,54.58,
285,4.75,90.1,49.38,
286,4.7667,90.1,44.06,
287,4.7833,90.1,38.85,
288,4.8,90.1,33.96,
289,4.8167,90.1,29.27,
290,4.8333,90.1,25.21,
291,4.85,90.1,21.51,
292,4.8667,90.1,18.23,
293,4.8833,90.1,15.73,
294,4.9,90.1,13.65,
295,4.9167,90.1,12.19,
296,4.9333,90.1,11.15,
297,4.95,90.1,10.49,
298,4.9667,90.1,10.16,
299,4.9833,90.1,10.05,
300,5.0,90.1,90.16,
301,5.0167,90.1,90.1,
302,5.0333,90.1,89.97,
303,5.05,90.1,89.58,
304,5.0667,90.1,88.83,
305,5.0833,90.1,87.68,
306,5.1,90.1,86.02,
307,5.1167,90.1,83.83,
308,5.1333,90.1,81.04,
309,5.15,90.1,77.76,
310,5.1667,90.1,73.96,
311,5.1833,90.1,69.69,
312,5.2,90.1,64.9,
313,5.2167,90.1,60.0,
314,5.2333,90.1,54.69,
315,5.25,90.1,49.38,
316,5.2667,90.1,43.75,
317,5.2833,90.1,38.85,
318,5.3,90.1,33.96,
319,5.3167,90.1,29.38,
320,5.3333,90.1,25.21,
321,5.35,90.1,21.51,
322,5.3667,90.1,18.33,
323,5.3833,90.1,15.73,
324,5.4,90.1,13.65,
325,5.4167,90.1,12.19,
326,5.4333,90.1,11.15,
327,5.45,90.1,10.47,
328,5.4667,90.1,10.16,
329,5.4833,90.1,10.05,
330,5.5,90.1,90.16,
331,5.5167,90.1,90.1,
332,5.5333,90.1,90.0,
333,5.55,90.1,89.58,
334,5.5667,90.1,88.83,
335,5.5833,90.1,87.68,
336,5.6,90.1,86.02,
337,5.6167,90.1,83.7,
338,5.6333,90.1,81.09,
339,5.65,90.1,77.81,
340,5.6667,90.1,73.96,
341,5.6833,90.1,69.69,
342,5.7,90.1,65.0,
343,5.7167,90.1,59.9,
344,5.7333,90.1,54.37,
345,5.75,90.1,49.17,
346,5.7667,90.1,44.06,
347,5.7833,90.1,38.96,
348,5.8,90.1,33.98,
349,5.8167,90.1,29.38,
350,5.8333,90.1,25.21,
351,5.85,90.1,21.46,
352,5.8667,90.1,18.33,
353,5.8833,90.1,15.73,
354,5.9,90.1,13.75,
355,5.9167,90.1,12.19,
356,5.9333,90.1,11.15,
357,5.95,90.1,10.47,
358,5.9667,90.1,10.16,
359,5.9833,90.1,10.03,
360,6.0,90.1,90.16,
361,6.0167,90.1,90.1,
362,6.0333,90.1,90.0,
363,6.05,90.1,89.58,
364,6.0667,90.1,88.85,
365,6.0833,90.1,87.71,
366,6.1,90.1,86.04,
367,6.1167,90.1,83.72,
368,6.1333,90.1,81.09,
369,6.15,90.1,77.81,
370,6.1667,90.1,73.85,
371,6.1833,90.1,69.58,
372,6.2,90.1,64.84,
373,6.2167,90.1,59.95,
374,6.2333,90.1,54.79,
375,6.25,90.1,49.27,
376,6.2667,90.1,44.11,
377,6.2833,90.1,38.96,
378,6.3,90.1,33.96,
379,6.3167,90.1,29.38,
380,6.3333,90.1,25.21,
381,6.35,90.1,21.46,
382,6.3667,90.1,18.33,
383,6.3833,90.1,15.73,
384,6.4,90.1,13.7,
385,6.4167,90.1,12.19,
386,6.4333,90.1,11.15,
387,6.45,90.1,10.49,
